Project,Category,ModalID,ImageSrc
Neomate,"Hackathon, Fullstack, Frontend",projectModal21,assets/images/projects/neomate_app.jpg
COAST VA,Frontend,projectModal13,assets/images/projects/coast-va-home.png
Hue,Fullstack,projectModal1,assets/images/projects/thumb-hue.png
OBBA/OLLA Queue,Fullstack,projectModal2,assets/images/OBBA.png
Dash,Fullstack,projectModal14,assets/images/projects/project_10.png
Inklusion,"Hackathon, Frontend",projectModal4,assets/images/projects/project_5.png
Muzak,"Fullstack, Logo Design, Graphic Design",projectModal5,assets/images/projects/project_4.png
Electrillo,"Hackathon, Frontend",projectModal6,assets/images/projects/project_2.png
Smitten,"Game Dev, Hackathon",projectModal7,assets/images/projects/project_6.png
Game of Facts,"Game Dev, Frontend",projectModal8,assets/images/projects/project_1.png
Infinity,Frontend,projectModal9,assets/images/projects/project_7.png
DeathScape,"Game Dev, Hackathon",projectModal11,assets/images/projects/project_9.png
Emojourney,Hackathon,projectModal10,assets/images/projects/project_8.png
Snooscapes,"Game Dev, Hackathon",projectModal16,assets/images/projects/snooscapes.png
Screen Snaps,"Game Dev, Hackathon, Logo Design, Graphic Design",projectModal17,assets/images/projects/screensnaps.png
Slangman,"Game Dev, Hackathon, Logo Design, Graphic Design",projectModal18,assets/images/projects/slangman.png
Cosmos,"Game Dev, Hackathon, Logo Design, Graphic Design",projectModal15,assets/images/cosmos.png
Cassie The Cat,"Illustrations, Graphic Design",projectModal19,assets/images/projects/cassie-cover.jpg
The Magic of Love,"Illustrations, Graphic Design",projectModal20,assets/images/projects/magic-of-love.jpg
